utc_timestamp,predicted_energy_generation,Battery_Level,Battery_Action,Smoothed_Battery_Level
2015-01-09 20:00:00+00:00,7148.06,15000.0,Store,14070.329984761498
2015-01-09 21:00:00+00:00,7102.064,15000.0,Store,14115.408028192362
2015-01-09 22:00:00+00:00,6727.9106,15000.0,Store,14139.652738289893
2015-01-09 23:00:00+00:00,7024.843,15000.0,Store,14164.67852456357
2015-01-10 00:00:00+00:00,6710.7593,15000.0,Store,14210.537644170583
2015-01-10 01:00:00+00:00,6499.2617,15000.0,Store,14265.350400237978
2015-01-10 02:00:00+00:00,6075.683,15000.0,Store,14326.030092687643
2015-01-10 03:00:00+00:00,5392.94,14906.672872247758,Discharge,14397.465608001765
2015-01-10 04:00:00+00:00,5006.8037,14406.672872247758,Discharge,14468.901123315887
2015-01-10 05:00:00+00:00,5159.6606,14053.669667427584,Discharge,14546.461505095833
2015-01-10 06:00:00+00:00,5856.7427,14394.917905001423,Store,14637.582662871055
2015-01-10 07:00:00+00:00,5859.6553,14738.594442647372,Store,14722.190343048189
2015-01-10 08:00:00+00:00,6289.7524,15000.0,Store,14796.856588115013
2015-01-10 09:00:00+00:00,6452.086,15000.0,Store,14850.689499848508
2015-01-10 10:00:00+00:00,6478.5254,15000.0,Store,14883.689078248668
2015-01-10 11:00:00+00:00,6751.124,15000.0,Store,14895.855323315496
2015-01-10 12:00:00+00:00,7623.862,15000.0,Store,14895.855323315496
2015-01-10 13:00:00+00:00,7749.8066,15000.0,Store,14895.855323315496
2015-01-10 14:00:00+00:00,7740.4814,15000.0,Store,14895.855323315496
2015-01-10 15:00:00+00:00,7446.5835,15000.0,Store,14895.855323315496
2015-01-10 16:00:00+00:00,7124.987,15000.0,Store,14895.855323315496
2015-01-10 17:00:00+00:00,7031.3584,15000.0,Store,14895.855323315496
2015-01-10 18:00:00+00:00,6749.594,15000.0,Store,14895.855323315496
2015-01-10 19:00:00+00:00,6739.9224,15000.0,Store,14895.855323315496
2015-01-10 20:00:00+00:00,6704.73,15000.0,Store,14895.855323315496
2015-01-10 21:00:00+00:00,6698.193,15000.0,Store,14895.855323315496
2015-01-10 22:00:00+00:00,6742.3887,15000.0,Store,14895.855323315496
2015-01-10 23:00:00+00:00,6714.719,15000.0,Store,14895.855323315496
2015-01-11 00:00:00+00:00,6466.945,15000.0,Store,14895.855323315496
2015-01-11 01:00:00+00:00,6329.0356,15000.0,Store,14895.855323315496
