actual,nn_predicted,naive_predicted
475.0,831.852,694.0
408.0,770.6761,462.0
366.0,730.4024,563.0
342.0,722.8473,643.0
309.0,702.0305,820.0
330.0,731.0432,1039.0
357.0,755.02466,1144.0
391.0,779.0759,1425.0
380.0,756.8439,1330.0
321.0,705.72754,1157.0
352.0,725.94104,1052.0
321.0,661.343,982.0
303.0,640.59467,863.0
319.0,644.75616,849.0
273.0,611.02155,686.0
283.0,615.4898,766.0
261.0,599.7601,738.0
230.0,584.86456,758.0
236.0,605.7198,880.0
261.0,611.8935,845.0
326.0,670.4811,878.0
383.0,715.1573,715.0
392.0,720.22455,653.0
449.0,766.3958,661.0
770.0,1014.1188,475.0
1036.0,1230.6865,408.0
1246.0,1418.9641,366.0
1468.0,1631.2937,342.0
1700.0,1850.702,309.0
1862.0,2007.5177,330.0
2074.0,2179.6848,357.0
2854.0,2885.0688,391.0
2373.0,2448.5452,380.0
3408.0,3342.5876,321.0
3830.0,3711.2803,352.0
3953.0,3837.2517,321.0
3847.0,3747.9202,303.0
3988.0,3858.9165,319.0
4216.0,4043.8472,273.0
4184.0,4032.44,283.0
4436.0,4242.5674,261.0
4667.0,4426.017,230.0
4561.0,4325.0986,236.0
4580.0,4299.7686,261.0
4838.0,4508.226,326.0
4900.0,4542.2754,383.0
4795.0,4453.3955,392.0
4712.0,4383.6914,449.0
4913.0,4539.005,770.0
4702.0,4375.053,1036.0
4571.0,4272.788,1246.0
4596.0,4298.056,1468.0
4610.0,4318.1045,1700.0
4649.0,4343.9424,1862.0
4496.0,4221.952,2074.0
4214.0,4005.085,2854.0
4325.0,4089.7734,2373.0
4242.0,4032.6204,3408.0
4281.0,4071.7263,3830.0
4325.0,4120.5293,3953.0
4326.0,4113.8545,3847.0
4533.0,4265.001,3988.0
2539.0,2600.4827,4216.0
4621.0,4341.54,4184.0
4851.0,4515.408,4436.0
4617.0,4339.494,4667.0
4228.0,4042.1814,4561.0
4232.0,4062.5671,4580.0
4112.0,3979.6365,4838.0
3708.0,3663.2727,4900.0
3790.0,3734.8193,4795.0
3743.0,3691.165,4712.0
4195.0,4054.6038,4913.0
4551.0,4323.755,4702.0
4427.0,4223.8643,4571.0
4530.0,4311.516,4596.0
4480.0,4278.7295,4610.0
4546.0,4333.2793,4649.0
4605.0,4368.438,4496.0
4499.0,4272.7764,4214.0
4610.0,4367.083,4325.0
4458.0,4244.55,4242.0
4385.0,4211.797,4281.0
4291.0,4153.497,4325.0
4215.0,4087.6006,4326.0
4342.0,4171.921,4533.0
4579.0,4319.174,2539.0
4796.0,4493.283,4621.0
4948.0,4616.67,4851.0
5024.0,4673.768,4617.0
4953.0,4621.966,4228.0
4696.0,4432.9043,4232.0
5015.0,4671.552,4112.0
4981.0,4629.42,3708.0
4929.0,4591.803,3790.0
4867.0,4560.317,3743.0
4731.0,4441.294,4195.0
3037.0,3066.9849,4551.0
4700.0,4393.258,4427.0
2440.0,2512.0776,4530.0
2289.0,2375.7507,4480.0
4155.0,3973.1228,4546.0
3958.0,3821.2307,4605.0
3532.0,3473.095,4499.0
3436.0,3381.572,4610.0
3468.0,3390.384,4458.0
3558.0,3465.0012,4385.0
3413.0,3339.0261,4291.0
3322.0,3255.0369,4215.0
3096.0,3047.0798,4342.0
